Quantity,Package,Value,Reference,Notes,Digikey
1,BREAKOUT14,RELAYCNT14,CN2,2X7 0.1 inch pin header,
8,C_0805_HandSoldering,100n,C9 C10 C7 C8 C21 C5 C6 C14,ceramic,
1,C_0805_HandSoldering,120p,C4,5.00%,
1,C_0805_HandSoldering,150p,C2,5.00%,
1,C_0805_HandSoldering,160p,C3,5.00%,
2,C_0805_HandSoldering,1u,C11 C12,ceramic,
1,C_0805_HandSoldering,75p,C1,5.00%,
1,C_0805_HandSoldering,FB,FB2,"Ferite chip, MPZ2012S221A",445-1568-1-ND
2,C_1206_0805_hand,240n,L1 L2,"240n inductor, either 1206 or 0806, Murata air wound 5% LQW2BASR24J00L",490-5670-1-ND
4,C_1206_0805_hand,270n,L3 L6 L7 L8,"270n inductor, either 1206 or 0806, Murata air wound 5% LQW2BASR27J00L",490-5671-1-ND
1,PINHEAD1-2,12V,P1,2X1 0.1 inch pin header for 12 volt power (only needed if no 12V on main board),
1,PSOP-18,ULN2803,U6,Texas Instruments darlington array,
1,R_0805_HandSoldering,10k,R3,,
2,R_0805_HandSoldering,1200,R10 R15,,
1,R_0805_HandSoldering,15k,R5,,
2,R_0805_HandSoldering,200 1%,R11 R12,,
2,R_0805_HandSoldering,33 1%,R1 R2,,
1,R_0805_HandSoldering,47k,R4,,
1,R_0805_HandSoldering,51,R16,,
2,R_0805_HandSoldering,820 1%,R14 R13,,
1,SOD323,DIODESCH2,D1,"TVS diode, CDSOD323-T05LC",CDSOD323-T05LCT-ND
1,SOIC-8-N-PAD,SN10501,U7,"OpAmp, Texas Instruments SN10501D 8-SOIC",296-14777-5-ND
1,SOT-23-5,NCP4623,U1,"OnSemi adjustable voltage regulator, SOT-23-5,  NCP4623HSNADJT1G",NCP4623HSNADJT1GOSCT-ND
1,TantalC_SizeT_EIA-3528,10u,C13,"Tantalum capacitor, 3528 metric, 20 volts",
1,TransMclX65,8:1Z,T1,"Minicircuits T8-1T-X65, or surface mount, or homebrew",
1,pe4259,PE4259,U2,"RF switch for transmit/receive to single SMA (optional; otherwise jumper P5 to P8, and P6 to P7)",1046-1011-2-ND
2,rfconnectorB,SMA/BNC/HDR,P2 P3,"SMA connector, either edge mount or through hole; if the RF switch is used, you only need one",
,,,,,
,,,,,
,,,,Build Option 1. On-Board T/R switch:  Mount PE4259 and P2 (antenna).  Omit P3.,
,,,,Build Option 2. Separate Rfin and Rfout:  Mount P2 and P3.  Omit PE4259.  Jumper P5 to P8 and P6 to P7.,
